"id","event","deal_value","delivery_text","event_date","face_value","is_active","is_agent_only","is_best_deal","is_eticket","is_instant_delivery","is_low_price","is_money_saver","note","price","quality","quantity","row","section","ticket_id","url"
"785","7249102","5.09","E-TRANSFER","2025-10-05 03:00:00+03","147.00",True,False,False,True,False,False,True,"XFER","165.00","6.28",7,"14","103","4718558925","https://www.tickpick.com/checkout/?listingId=4718558925&quantity=7&listingType=TP&price=165.0&dt=f&dv=5.09&e=True&r=14"
"810","7249102","3.86","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"Flash Seats AXS Mobile ID","212.00","4.77",8,"23","103","4576417925","https://www.tickpick.com/checkout/?listingId=4576417925&quantity=8&listingType=TP&price=212.0&dt=f&dv=3.86&e=True&r=23"
"829","7249102","3.58","E-TRANSFER","2025-10-06 03:00:00+03","226.80",True,False,False,True,False,False,True,"XFER","255.00","4.42",2,"J","C101","4725223385","https://www.tickpick.com/checkout/?listingId=4725223385&quantity=2&listingType=TP&price=255.0&dt=f&dv=3.58&e=True&r=J"
"851","7249102",NULL,"E-TRANSFER","2025-10-05 03:00:00+03","2520.00",True,False,False,True,False,False,False,"18 Person Suite. XFER","2895.00","0",1,"SUITE","SUITE 235","4669488995","https://www.tickpick.com/checkout/?listingId=4669488995&quantity=1&listingType=TP&price=2895.0&dt=f&e=True&r=SUITE"
"1605","7367660","1.91","E-TRANSFER","2026-08-16 03:00:00+03","0.00",True,False,False,True,False,False,True,"xfer","137.00","77.96",2,"LL","FBox 94","4752997182","https://www.tickpick.com/checkout/?listingId=4752997182&quantity=2&listingType=TP&price=137.0&dt=f&dv=1.91&e=True&r=LL"
"1771","7367662","1.11","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"xfer","128.00","42.64",2,"6","G 12","4752997372","https://www.tickpick.com/checkout/?listingId=4752997372&quantity=2&listingType=TP&price=128.0&dt=f&dv=1.11&e=True&r=6"
"1777","7367662","0.51","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","305.00","19.4",4,"14","G 27","4712158424","https://www.tickpick.com/checkout/?listingId=4712158424&quantity=4&listingType=TP&price=305.0&dt=f&dv=0.51&e=True&r=14"
"1783","7367662","0.95","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","329.00","36.46",2,"LL","Loge 160","4712158344","https://www.tickpick.com/checkout/?listingId=4712158344&quantity=2&listingType=TP&price=329.0&dt=f&dv=0.95&e=True&r=LL"
"1790","7367662","1.53","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"xfer","368.00","58.47",7,"KK","Loge 137","4752994831","https://www.tickpick.com/checkout/?listingId=4752994831&quantity=7&listingType=TP&price=368.0&dt=f&dv=1.53&e=True&r=KK"
"1821","7367662","0.89","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","566.00","34.09",4,"M","FBox 69","4712158312","https://www.tickpick.com/checkout/?listingId=4712158312&quantity=4&listingType=TP&price=566.0&dt=f&dv=0.89&e=True&r=M"
"1859","7367513","0.16","E-TRANSFER","2026-03-25 02:00:00+02","0.00",True,False,False,True,False,False,True,"XFER","543.00","23.44",4,"T","19RS","4719880441","https://www.tickpick.com/checkout/?listingId=4719880441&quantity=4&listingType=TP&price=543.0&dt=f&dv=0.16&e=True&r=T"
"1894","7367514",NULL,"E-TRANSFER","2026-03-26 02:00:00+02","0.00",True,False,False,True,False,False,False,"Parking only. XFER","189.00","0",6,"GA","PARKING LOT F","4703051356","https://www.tickpick.com/checkout/?listingId=4703051356&quantity=6&listingType=TP&price=189.0&dt=f&e=True&r=GA"
"1933","7367515","0.41","E-TRANSFER","2026-03-27 02:00:00+02","0.00",True,False,False,True,False,False,True,"XFER","321.00","43.47",2,"F","4RS","4699631956","https://www.tickpick.com/checkout/?listingId=4699631956&quantity=2&listingType=TP&price=321.0&dt=f&dv=0.41&e=True&r=F"
"1982","7369144","3.92","E-TRANSFER","2026-03-29 02:00:00+02","55.00",True,False,False,True,False,False,True,"Mobile Entry Xfer xfer","145.00","77.02",15,"23","116","4769859836","https://www.tickpick.com/checkout/?listingId=4769859836&quantity=15&listingType=TP&price=145.0&dt=f&dv=3.92&e=True&r=23"
"2012","7369145","1.48","E-TRANSFER","2026-03-30 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","81.00","23.68",2,"18","329","4708765779","https://www.tickpick.com/checkout/?listingId=4708765779&quantity=2&listingType=TP&price=81.0&dt=f&dv=1.48&e=True&r=18"
"2017","7369145","2.42","E-TRANSFER","2026-03-30 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","189.00","38.77",2,"34","116","4708765460","https://www.tickpick.com/checkout/?listingId=4708765460&quantity=2&listingType=TP&price=189.0&dt=f&dv=2.42&e=True&r=34"
"2065","7369147","6.24","E-TRANSFER","2026-03-31 03:00:00+03","55.00",True,False,False,True,False,False,True,"Mobile Entry Xfer xfer","91.00","100",16,"23","116","4714602629","https://www.tickpick.com/checkout/?listingId=4714602629&quantity=16&listingType=TP&price=91.0&dt=f&dv=6.24&e=True&r=23"
"2083","7369525","7.04","E-TRANSFER","2026-04-01 03:00:00+03","26.10",True,False,False,True,False,False,True,"XFER Mobile Entry Ticket. Must have smart device on hand to enter event.","42.00","82.13",8,"18","105","4730205440","https://www.tickpick.com/checkout/?listingId=4730205440&quantity=8&listingType=TP&price=42.0&dt=f&dv=7.04&e=True&r=18"
"2086","7369525","3.16","E-TRANSFER","2026-04-01 03:00:00+03","37.00",True,False,False,True,False,False,True,"Mobile Entry Xfer xfer","122.00","36.91",4,"1","111","4747846921","https://www.tickpick.com/checkout/?listingId=4747846921&quantity=4&listingType=TP&price=122.0&dt=f&dv=3.16&e=True&r=1"
"2090","7369525","2.24","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","138.00","26.13",2,"26","133","4708765606","https://www.tickpick.com/checkout/?listingId=4708765606&quantity=2&listingType=TP&price=138.0&dt=f&dv=2.24&e=True&r=26"
"2094","7369525","3.83","E-TRANSFER","2026-04-01 03:00:00+03","55.00",True,False,False,True,False,False,True,"Mobile Entry Xfer xfer","151.00","44.65",10,"22","116","4714616265","https://www.tickpick.com/checkout/?listingId=4714616265&quantity=10&listingType=TP&price=151.0&dt=f&dv=3.83&e=True&r=22"
"2098","7369525","1.62","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","178.00","18.84",4,"33","133","4708766109","https://www.tickpick.com/checkout/?listingId=4708766109&quantity=4&listingType=TP&price=178.0&dt=f&dv=1.62&e=True&r=33"
"2103","7369525","3.04","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","213.00","35.5",2,"35","120","4708765540","https://www.tickpick.com/checkout/?listingId=4708765540&quantity=2&listingType=TP&price=213.0&dt=f&dv=3.04&e=True&r=35"
"2110","7369525","0.16","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","258.00","1.85",4,"39","126","4708766209","https://www.tickpick.com/checkout/?listingId=4708766209&quantity=4&listingType=TP&price=258.0&dt=f&dv=0.16&e=True&r=39"
"2114","7369525","4.64","E-TRANSFER","2026-04-01 03:00:00+03","56.15",True,False,False,True,False,False,True,"XFER Mobile Entry Ticket. Must have smart device on hand to enter event.","72.00","54.19",4,"3","208","4730205932","https://www.tickpick.com/checkout/?listingId=4730205932&quantity=4&listingType=TP&price=72.0&dt=f&dv=4.64&e=True&r=3"
"2121","7369525","5.65","E-TRANSFER","2026-04-01 03:00:00+03","55.00",True,False,False,True,False,False,True,"Mobile Entry Xfer xfer","97.00","65.88",18,"25","116","4747846923","https://www.tickpick.com/checkout/?listingId=4747846923&quantity=18&listingType=TP&price=97.0&dt=f&dv=5.65&e=True&r=25"
"2131","7369167","2.01","E-TRANSFER","2026-04-02 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","116.00","28.76",2,"19","315","4708765705","https://www.tickpick.com/checkout/?listingId=4708765705&quantity=2&listingType=TP&price=116.0&dt=f&dv=2.01&e=True&r=19"
"2132","7369167","2.04","E-TRANSFER","2026-04-02 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","119.00","29.27",2,"29","104","4708765400","https://www.tickpick.com/checkout/?listingId=4708765400&quantity=2&listingType=TP&price=119.0&dt=f&dv=2.04&e=True&r=29"
"2133","7369167","2.15","E-TRANSFER","2026-04-02 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","119.00","30.82",2,"24","142","4708765696","https://www.tickpick.com/checkout/?listingId=4708765696&quantity=2&listingType=TP&price=119.0&dt=f&dv=2.15&e=True&r=24"
"2134","7369167","1.54","E-TRANSFER","2026-04-02 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","122.00","22.13",2,"24","318","4708765789","https://www.tickpick.com/checkout/?listingId=4708765789&quantity=2&listingType=TP&price=122.0&dt=f&dv=1.54&e=True&r=24"
"787","7249102",NULL,"E-TRANSFER","2025-10-05 03:00:00+03",NULL,False,False,False,True,False,False,False,NULL,"172.00","0",2,"23","C107","1224375619","https://www.tickpick.com/checkout/?listingId=1224375619&quantity=2&listingType=M&price=172.0&dt=f&e=True&r=23"
"819","7249102","3.75","E-TRANSFER","2025-10-05 03:00:00+03","0.00",True,False,False,True,False,False,True,"AXS Mobile ID.  Flash","280.00","4.63",2,"1","120","4668762890","https://www.tickpick.com/checkout/?listingId=4668762890&quantity=2&listingType=TP&price=280.0&dt=f&dv=3.75&e=True&r=1"
"840","7249102",NULL,"E-TRANSFER","2025-10-05 03:00:00+03","504.00",True,False,False,True,False,False,False,"XFER","565.00","0",4,"20","C107","4729151346","https://www.tickpick.com/checkout/?listingId=4729151346&quantity=4&listingType=TP&price=565.0&dt=f&e=True&r=20"
