"id","name","url","status"
"475","Ecuador","https://www.tickpick.com/soccer/ecuador-tickets/","Done"
"476","El Clasico de Mexico","https://www.tickpick.com/soccer/el-clasico-de-mexico-tickets/","Done"
"477","Houston Dash","https://www.tickpick.com/soccer/houston-dash-tickets/","Done"
"88","Milwaukee Bucks","https://www.tickpick.com/nba/milwaukee-bucks-tickets/","Done"
"87","Miami Heat","https://www.tickpick.com/nba/miami-heat-tickets/","Done"
"86","Memphis Grizzlies","https://www.tickpick.com/nba/memphis-grizzlies-tickets/","Done"
"92","Oklahoma City Thunder","https://www.tickpick.com/nba/oklahoma-city-thunder-tickets/","Done"
"90","New Orleans Pelicans","https://www.tickpick.com/nba/new-orleans-pelicans-tickets/","Done"
"91","New York Knicks","https://www.tickpick.com/nba/new-york-knicks-tickets/","Done"
"93","Orlando Magic","https://www.tickpick.com/nba/orlando-magic-tickets/","Done"
"479","Ireland","https://www.tickpick.com/soccer/ireland-tickets/","Done"
"95","Phoenix Suns","https://www.tickpick.com/nba/phoenix-suns-tickets/","Done"
"480","Mexico","https://www.tickpick.com/soccer/mexico-tickets/","Done"
"482","New Zealand","https://www.tickpick.com/soccer/new-zealand-tickets/","Done"
"98","San Antonio Spurs","https://www.tickpick.com/nba/san-antonio-spurs-tickets/","Done"
"524","BNP Paribas Open","https://www.tickpick.com/tennis/bnp-paribas-open-tickets/","Done"
"530","National Bank Open","https://www.tickpick.com/tennis/national-bank-open-tickets/","Done"
"529","Miami Open Tennis","https://www.tickpick.com/tennis/miami-open-tennis-tickets/","Done"
"534","Belmont Stakes Racing Festival","https://www.tickpick.com/racing/belmont-stakes-racing-festival-tickets/","Done"
"535","Kentucky Derby","https://www.tickpick.com/racing/kentucky-derby-tickets/","Done"
"536","Preakness Stakes","https://www.tickpick.com/racing/preakness-stakes-tickets/","Done"
"537","Breeders Cup","https://www.tickpick.com/racing/breeders-cup-tickets/","Done"
"541","Bare Knuckle Fighting Championship","https://www.tickpick.com/mixed-martial-arts/bare-knuckle-fighting-championship-tickets/","Done"
"543","BKFC 82","https://www.tickpick.com/mixed-martial-arts/bkfc-82-tickets/","Done"
"544","BKFC Fight Night","https://www.tickpick.com/mixed-martial-arts/bkfc-fight-night-tickets/","Done"
"545","LFA MMA","https://www.tickpick.com/mixed-martial-arts/lfa-mma-tickets/","Done"
"96","Portland Trail Blazers","https://www.tickpick.com/nba/portland-trail-blazers-tickets/","Done"
"97","Sacramento Kings","https://www.tickpick.com/nba/sacramento-kings-tickets/","Done"
"99","Toronto Raptors","https://www.tickpick.com/nba/toronto-raptors-tickets/","Done"
"103","NBA All Star Game","https://www.tickpick.com/nba/nba-all-star-game-tickets/","Done"
"100","Utah Jazz","https://www.tickpick.com/nba/utah-jazz-tickets/","Done"
"101","Washington Wizards","https://www.tickpick.com/nba/washington-wizards-tickets/","Done"
"104","NBA Slam Dunk Contest","https://www.tickpick.com/nba/nba-all-star-saturday-night-tickets/","Done"
"549","ONE Championship 173","https://www.tickpick.com/mixed-martial-arts/one-championship-173-tickets/","Done"
"548","ONE Championship","https://www.tickpick.com/mixed-martial-arts/one-championship-tickets/","Done"
"550","Power Slap 15","https://www.tickpick.com/mixed-martial-arts/power-slap-15-tickets/","Done"
"554","WFC 182","https://www.tickpick.com/mixed-martial-arts/wfc-182-tickets/","Done"
"555","Alex Pereira","https://www.tickpick.com/mixed-martial-arts/alex-pereira-tickets/","Done"
"207","Wicked","https://www.tickpick.com/theater/wicked-tickets/","Done"
"205","The Outsiders","https://www.tickpick.com/theater/the-outsiders-tickets/","Done"
"37","Boston Bruins","https://www.tickpick.com/nhl/boston-bruins-tickets/","Done"
"35","MLB Playoffs","https://www.tickpick.com/mlb/mlb-playoffs-tickets/","Done"
"75","Charlotte Hornets","https://www.tickpick.com/nba/charlotte-hornets-tickets/","Done"
"26","Tampa Bay Rays","https://www.tickpick.com/mlb/tampa-bay-rays-tickets/","Done"
"57","Pittsburgh Penguins","https://www.tickpick.com/nhl/pittsburgh-penguins-tickets/","Done"
"61","Tampa Bay Lightning","https://www.tickpick.com/nhl/tampa-bay-lightning-tickets/","Done"
"59","Seattle Kraken","https://www.tickpick.com/nhl/seattle-kraken-tickets/","Done"
"107","Atlanta Falcons","https://www.tickpick.com/nfl/atlanta-falcons-tickets/","Done"
"106","Arizona Cardinals","https://www.tickpick.com/nfl/arizona-cardinals-tickets/","Done"
"108","Baltimore Ravens","https://www.tickpick.com/nfl/baltimore-ravens-tickets/","Done"
"13","Los Angeles Angels","https://www.tickpick.com/mlb/los-angeles-angels-tickets/","Done"
"109","Buffalo Bills","https://www.tickpick.com/nfl/buffalo-bills-tickets/","Done"
"110","Carolina Panthers","https://www.tickpick.com/nfl/carolina-panthers-tickets/","Done"
"60","St. Louis Blues","https://www.tickpick.com/nhl/st-louis-blues-tickets/","Done"
"111","Chicago Bears","https://www.tickpick.com/nfl/chicago-bears-tickets/","Done"
"112","Cincinnati Bengals","https://www.tickpick.com/nfl/cincinnati-bengals-tickets/","Done"
"115","Denver Broncos","https://www.tickpick.com/nfl/denver-broncos-tickets/","Done"
"113","Cleveland Browns","https://www.tickpick.com/nfl/cleveland-browns-tickets/","Done"
"34","MLB Home Run Derby","https://www.tickpick.com/mlb/mlb-home-run-derby-tickets/","Done"
"51","Nashville Predators","https://www.tickpick.com/nhl/nashville-predators-tickets/","Done"
"131","Philadelphia Eagles","https://www.tickpick.com/nfl/philadelphia-eagles-tickets/","Done"
"142","Cardi B","https://www.tickpick.com/concerts/cardi-b-tickets/","Done"
"180","Dave Chappelle","https://www.tickpick.com/comedy/dave-chappelle-tickets/","Done"
"212","Florida State Seminoles","https://www.tickpick.com/ncaa-football/florida-state-seminoles-football-tickets/","Done"
"146","Machine Gun Kelly","https://www.tickpick.com/concerts/machine-gun-kelly-tickets/","Done"
"236","Penn State Nittany Lions","https://www.tickpick.com/ncaa-football/penn-state-nittany-lions-football-tickets/","Done"
"270","TCU Horned Frogs","https://www.tickpick.com/ncaa-football/tcu-horned-frogs-football-tickets/","Done"
"94","Philadelphia 76ers","https://www.tickpick.com/nba/philadelphia-76ers-tickets/","Done"
"962","Bay FC","https://www.tickpick.com/soccer/bay-fc-tickets/","Done"
"114","Dallas Cowboys","https://www.tickpick.com/nfl/dallas-cowboys-tickets/","Done"
"979","Lyric Opera of Chicago","https://www.tickpick.com/theater/lyric-opera-of-chicago-tickets/","Done"
"116","Detroit Lions","https://www.tickpick.com/nfl/detroit-lions-tickets/","Done"
"117","Green Bay Packers","https://www.tickpick.com/nfl/green-bay-packers-tickets/","Done"
"118","Houston Texans","https://www.tickpick.com/nfl/houston-texans-tickets/","Done"
"119","Indianapolis Colts","https://www.tickpick.com/nfl/indianapolis-colts-tickets/","Done"
"120","Jacksonville Jaguars","https://www.tickpick.com/nfl/jacksonville-jaguars-tickets/","Done"
"121","Kansas City Chiefs","https://www.tickpick.com/nfl/kansas-city-chiefs-tickets/","Done"
"122","Las Vegas Raiders","https://www.tickpick.com/nfl/las-vegas-raiders-tickets/","Done"
"123","Los Angeles Chargers","https://www.tickpick.com/nfl/los-angeles-chargers-tickets/","Done"
"124","Los Angeles Rams","https://www.tickpick.com/nfl/los-angeles-rams-tickets/","Done"
"126","Minnesota Vikings","https://www.tickpick.com/nfl/minnesota-vikings-tickets/","Done"
"127","New England Patriots","https://www.tickpick.com/nfl/new-england-patriots-tickets/","Done"
"128","New Orleans Saints","https://www.tickpick.com/nfl/new-orleans-saints-tickets/","Done"
"963","Clasico de Leyendas","https://www.tickpick.com/soccer/clasico-de-leyendas-tickets/","Done"
"968","Mel Robbins","https://www.tickpick.com/theater/mel-robbins-tickets/","Done"
"967","Just in Time","https://www.tickpick.com/theater/just-in-time-tickets/","Done"
"970","Mamma Mia!","https://www.tickpick.com/theater/mamma-mia!-tickets/","Done"
"969","Hell's Kitchen - The Musical","https://www.tickpick.com/theater/hells-kitchen-the-musical-tickets/","Done"
"972","Elf - The Musical","https://www.tickpick.com/theater/elf-the-musical-tickets/","Done"
"973","Purple Rain - The Musical","https://www.tickpick.com/theater/purple-rain-the-musical-tickets/","Done"
"195","Disney On Ice","https://www.tickpick.com/theater/disney-on-ice-tickets/","Done"
"975","New York City Ballet","https://www.tickpick.com/theater/new-york-city-ballet-tickets/","Done"
"976","Gabby's Dollhouse Live!","https://www.tickpick.com/theater/gabbys-dollhouse-live!-tickets/","Done"
"974","The Sound Of Music","https://www.tickpick.com/theater/the-sound-of-music-tickets/","Done"
"980","Notre Dame Fighting Irish","https://www.tickpick.com/ncaa-football/notre-dame-fighting-irish-football-tickets/","Done"
"977","Disney On Ice: Frozen & Encanto","https://www.tickpick.com/theater/disney-on-ice-frozen-encanto-tickets/","Done"
